supermarket,no_of_items,variation,total,Payment Method,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,Gender,Weekly_Income_in_`000 (ksh),Spending_Score_(1-100),Age,Income Cluster
nakumatt,1,1,2436,cash,2017-02-06,no,13:31:00,afternoon,chain,cbd,mid,Friday,weekday,yes,Female,20.0,15.0,58.0,0.0
uchumi,1,1,2407,cash,2017-02-06,no,09:19:00,morning,chain,cbd,mid,Friday,weekday,no,Female,20.0,77.0,24.0,2.0
tuskys,2,2,2453,mpesa,2017-02-06,no,18:22:00,afternoon,chain,cbd,mid,Friday,weekday,no,Male,20.0,13.0,37.0,0.0
uchumi,2,1,2416,cash,2017-02-06,no,15:11:00,afternoon,chain,cbd,mid,Friday,weekday,no,Male,20.0,79.0,22.0,2.0
tuskys,1,1,2455,cash,2017-02-06,no,18:59:00,afternoon,chain,cbd,mid,Friday,weekday,no,Female,21.0,35.0,35.0,0.0
tuskys,3,3,2393,cash,2017-02-06,no,13:55:00,afternoon,chain,cbd,mid,Friday,weekday,no,Male,21.0,66.0,20.0,2.0
tuskys,2,1,2462,cash,2017-02-06,no,18:36:00,afternoon,chain,cbd,mid,Friday,weekday,no,Male,23.0,29.0,52.0,0.0
karrymart,1,1,2390,cash,2017-02-06,no,17:25:00,afternoon,small,cbd,mid,Friday,weekday,yes,Female,23.0,98.0,35.0,2.0
karrymart,1,1,2393,cash,2017-02-06,no,18:21:00,afternoon,small,cbd,mid,Friday,weekday,yes,Male,24.0,35.0,35.0,0.0
karrymart,1,1,2442,cash,2017-02-06,no,17:26:00,afternoon,small,cbd,mid,Friday,weekday,yes,Male,24.0,73.0,25.0,2.0
tuskys,8,3,2431,cash,2017-02-06,no,10:23:00,afternoon,chain,cbd,mid,Friday,weekday,no,Female,25.0,5.0,46.0,0.0
tuskys,2,2,2475,cash,2017-02-06,no,10:29:00,afternoon,chain,cbd,mid,Friday,weekday,no,Male,25.0,73.0,31.0,2.0
nakumatt,1,1,2426,cash,2017-02-06,no,17:31:00,afternoon,chain,cbd,mid,Friday,weekday,yes,Female,28.0,14.0,54.0,0.0
nakumatt,2,2,2396,card,2017-02-06,no,15:02:00,afternoon,chain,cbd,mid,Friday,weekday,yes,Male,28.0,82.0,29.0,2.0
tuskys,2,2,2200,cash,2017-02-06,no,10:02:00,morning,chain,cbd,mid,Friday,weekday,no,Female,28.0,32.0,45.0,0.0
nakumatt,2,1,2427,cash,2017-02-06,no,16:13:00,afternoon,chain,cbd,mid,Friday,weekday,yes,Male,28.0,61.0,35.0,2.0
nakumatt,2,2,2407,cash,2017-02-06,no,18:43:00,afternoon,chain,cbd,mid,Friday,weekday,yes,Female,29.0,31.0,40.0,0.0
tuskys,2,1,2402,cash,2017-02-06,no,18:22:00,afternoon,chain,cbd,mid,Friday,weekday,no,Female,29.0,87.0,23.0,2.0
nakumatt,4,3,2401,cash,2017-02-06,no,18:30:00,afternoon,chain,cbd,mid,Friday,weekday,yes,Male,30.0,4.0,60.0,0.0
tuskys,4,3,2400,cash,2017-02-06,no,11:08:00,morning,chain,cbd,mid,Friday,weekday,no,Female,30.0,73.0,21.0,2.0
tuskys,1,1,2440,cash,2017-02-06,no,16:39:00,afternoon,chain,cbd,mid,Friday,weekday,no,Male,33.0,4.0,53.0,0.0
nakumatt,1,1,2445,cash,2017-02-06,no,17:38:00,afternoon,chain,cbd,mid,Friday,weekday,yes,Male,33.0,92.0,18.0,2.0
uchumi,1,1,2420,cash,2017-02-06,no,15:01:00,afternoon,chain,cbd,mid,Friday,weekday,no,Female,33.0,14.0,49.0,0.0
tuskys,3,1,2433,cash,2017-02-06,no,14:12:00,afternoon,chain,cbd,mid,Friday,weekday,no,Female,33.0,81.0,21.0,2.0
tuskys,3,2,2432,cash,2017-02-06,no,14:40:00,afternoon,chain,cbd,mid,Friday,weekday,no,Female,34.0,17.0,42.0,0.0
tuskys,2,1,2520,cash,2017-02-06,no,14:23:00,afternoon,chain,cbd,mid,Friday,weekday,no,Female,34.0,73.0,30.0,2.0
uchumi,1,1,2200,cash,2017-02-06,no,07:35:00,morning,chain,cbd,mid,Friday,weekday,no,Female,37.0,26.0,36.0,0.0
karrymart,1,1,2431,cash,2017-02-06,no,14:34:00,afternoon,small,cbd,mid,Friday,weekday,yes,Female,37.0,75.0,20.0,2.0
karrymart,1,1,2466,cash,2017-02-06,no,08:59:00,morning,small,cbd,mid,Friday,weekday,yes,Female,38.0,35.0,65.0,0.0
ukwala,4,2,2200,cash,2017-02-06,no,14:13:00,afternoon,median,cbd,mid,Friday,weekday,no,Male,38.0,92.0,24.0,2.0
ukwala,1,1,500,cash,2017-02-06,no,14:02:00,afternoon,median,cbd,mid,Friday,weekday,no,Male,39.0,36.0,48.0,0.0
tuskys,6,2,2200,cash,2017-02-06,no,14:18:00,afternoon,chain,cbd,mid,Friday,weekday,no,Female,39.0,61.0,31.0,2.0
tuskys,2,2,2454,cash,2017-02-06,no,14:50:00,afternoon,chain,cbd,mid,Friday,weekday,no,Female,39.0,28.0,49.0,0.0
tuskys,3,1,2200,cash,2017-02-06,no,14:44:00,afternoon,chain,cbd,mid,Friday,weekday,no,Female,39.0,65.0,24.0,2.0
tuskys,5,2,2425,cash,2017-02-06,no,08:48:00,morning,chain,cbd,mid,Friday,weekday,no,Female,40.0,55.0,50.0,0.0
tuskys,2,2,2471,cash,2017-02-06,no,15:49:00,afternoon,chain,cbd,mid,Friday,weekday,no,Female,40.0,47.0,27.0,0.0
ukwala,1,1,2398,cash,2017-02-06,no,14:37:00,afternoon,median,cbd,mid,Friday,weekday,no,Female,40.0,42.0,29.0,0.0
ukwala,2,2,2462,cash,2017-02-06,no,12:52:00,afternoon,median,cbd,mid,Friday,weekday,no,Female,40.0,42.0,31.0,0.0
tuskys,5,2,2447,cash,2017-02-06,no,14:27:00,afternoon,chain,cbd,mid,Friday,weekday,no,Female,42.0,52.0,49.0,0.0
tuskys,2,1,2453,cash,2017-02-06,no,12:36:00,morning,chain,cbd,mid,Friday,weekday,no,Male,42.0,60.0,33.0,2.0
tuskys,1,1,100,cash,2017-02-06,no,14:25:00,afternoon,chain,cbd,mid,Friday,weekday,no,Female,43.0,54.0,31.0,0.0
tuskys,2,2,2442,cash,2017-02-06,no,12:37:00,afternoon,chain,cbd,mid,Friday,weekday,no,Male,43.0,60.0,59.0,0.0
nakumatt,2,2,2495,cash,2017-02-06,no,15:24:00,afternoon,chain,cbd,mid,Friday,weekday,yes,Female,43.0,45.0,50.0,0.0
nakumatt,1,1,2431,cash,2017-02-06,no,16:58:00,afternoon,chain,cbd,mid,Friday,weekday,yes,Male,43.0,41.0,47.0,0.0
tuskys,13,2,2403,cash,2017-09-06,no,19:30:00,night,chain,cbd,mid,Friday,weekday,no,Female,44.0,50.0,51.0,0.0
tuskys,1,1,2200,cash,2017-09-06,no,18:08:00,afternoon,chain,cbd,mid,Friday,weekday,no,Male,44.0,46.0,69.0,0.0
nakumatt,3,3,2460,cash,2017-09-06,no,17:41:00,afternoon,chain,cbd,mid,Friday,weekday,yes,Female,46.0,51.0,27.0,0.0
nakumatt,1,1,2482,cash,2017-09-06,no,21:47:00,night,chain,cbd,mid,Friday,weekday,yes,Male,46.0,46.0,53.0,0.0
nakumatt,2,2,2200,cash,2017-09-06,no,21:41:00,night,chain,cbd,mid,Friday,weekday,yes,Male,46.0,56.0,70.0,0.0
nakumatt,1,1,2492,cash,2017-09-06,no,20:07:00,night,chain,cbd,mid,Friday,weekday,yes,Male,46.0,55.0,19.0,2.0
acacia,1,1,2401,cash,2017-09-06,no,19:59:00,night,chain,saika,mid,Friday,weekday,no,Female,47.0,52.0,67.0,0.0
tuskys,2,1,2401,cash,2017-09-06,no,18:41:00,afternoon,chain,cbd,mid,Friday,weekday,no,Female,47.0,59.0,54.0,0.0
nakumatt,2,2,2458,cash,2017-09-06,no,13:10:00,afternoon,chain,cbd,mid,Friday,weekday,yes,Male,48.0,51.0,63.0,0.0
nakumatt,1,1,2486,cash,2017-09-06,no,16:07:00,afternoon,chain,cbd,mid,Friday,weekday,yes,Male,48.0,59.0,18.0,2.0
nakumatt,1,1,2497,cash,2017-09-06,no,19:27:00,night,chain,cbd,mid,Friday,weekday,yes,Female,48.0,50.0,43.0,0.0
nakumatt,1,1,2493,cash,2017-09-06,no,19:46:00,night,chain,cbd,mid,Friday,weekday,yes,Female,48.0,48.0,68.0,0.0
nakumatt,2,2,2433,cash,2017-09-06,no,06:13:00,morning,chain,cbd,mid,Friday,weekday,yes,Male,48.0,59.0,19.0,2.0
nakumatt,1,1,2395,cash,2017-09-06,no,21:39:00,night,chain,cbd,mid,Friday,weekday,yes,Female,48.0,47.0,32.0,0.0
karrymart,1,1,2446,cash,2017-09-06,no,16:58:00,afternoon,chain,cbd,mid,Friday,weekday,yes,Male,49.0,55.0,70.0,0.0
acacia,1,1,2419,cash,2017-09-06,no,21:10:00,night,small,saika,mid,Friday,weekday,no,Female,49.0,42.0,47.0,0.0
ukwala,2,2,2462,cash,2017-09-06,no,07:44:00,morning,median,cbd,mid,Friday,weekday,no,Female,50.0,49.0,60.0,0.0
tuskys,1,1,2439,card,2017-09-06,no,08:36:00,morning,chain,cbd,mid,Friday,weekday,no,Female,50.0,56.0,60.0,0.0
nakumatt,2,1,2434,card,2017-09-06,no,06:25:00,morning,chain,cbd,mid,Friday,weekday,yes,Male,54.0,47.0,59.0,0.0
nakumatt,8,4,2478,card,2017-09-06,no,09:37:00,morning,chain,cbd,mid,Friday,weekday,yes,Male,54.0,54.0,26.0,0.0
ukwala,2,1,2393,card,2017-09-06,no,21:08:00,night,median,cbd,mid,Friday,weekday,no,Female,54.0,53.0,45.0,0.0
ukwala,1,1,2431,card,2017-09-06,no,21:03:00,night,median,cbd,mid,Friday,weekday,no,Male,54.0,48.0,40.0,0.0
nakumatt,2,2,2439,card,2017-09-06,no,19:33:00,night,chain,cbd,mid,Friday,weekday,yes,Female,54.0,52.0,23.0,0.0
ukwala,1,1,2400,card,2017-09-06,no,17:47:00,afternoon,median,cbd,mid,Friday,weekday,no,Female,54.0,42.0,49.0,0.0
tuskys,3,2,2446,card,2017-09-06,no,21:23:00,night,chain,cbd,mid,Friday,weekday,no,Male,54.0,51.0,57.0,0.0
ukwala,1,1,2450,card,2017-09-06,no,17:49:00,afternoon,median,cbd,mid,Friday,weekday,no,Male,54.0,55.0,38.0,0.0
ukwala,1,1,2399,card,2017-09-06,no,19:03:00,night,median,cbd,mid,Friday,weekday,no,Male,54.0,41.0,67.0,0.0
nakumatt,2,1,2462,card,2017-09-06,no,21:35:00,night,chain,cbd,mid,Friday,weekday,yes,Female,54.0,44.0,46.0,0.0
ukwala,2,1,2403,card,2017-09-06,no,19:01:00,night,median,cbd,mid,Friday,weekday,no,Female,54.0,57.0,21.0,2.0
nakumatt,1,1,2425,card,2017-06-23,no,11:05:00,morning,chain,cbd,mid,Friday,weekday,yes,Male,54.0,46.0,48.0,0.0
tuskys,1,1,2495,card,2017-06-23,no,20:58:00,night,chain,cbd,mid,Friday,weekday,no,Female,57.0,58.0,55.0,0.0
Carrefour,4,2,2469,mpesa,2017-08-25,no,20:47:00,night,chain,Westlands,mid,Friday,weekday,no,Female,57.0,55.0,22.0,0.0
Carrefour,4,2,2425,card,2017-08-09,no,19:03:00,night,chain,Westlands,mid,Friday,weekday,no,Female,58.0,60.0,34.0,0.0
Carrefour,5,2,2200,card,2017-08-09,no,19:00:00,night,chain,Westlands,mid,Friday,weekday,no,Female,58.0,46.0,50.0,0.0
Carrefour,4,3,2448,card,2017-08-09,no,19:02:00,night,chain,Westlands,mid,Friday,weekday,no,Female,59.0,55.0,68.0,0.0
Carrefour,5,1,2200,card,2017-08-09,no,18:04:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,59.0,41.0,18.0,0.0
Carrefour,11,2,2440,card,2017-08-09,no,19:20:00,night,chain,Westlands,mid,Friday,weekday,no,Male,60.0,49.0,48.0,0.0
Carrefour,2,1,2449,card,2017-08-09,no,18:28:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,60.0,40.0,40.0,0.0
Carrefour,1,1,2494,card,2017-08-09,no,19:25:00,night,chain,Westlands,mid,Friday,weekday,no,Female,60.0,42.0,32.0,0.0
Carrefour,4,3,2392,card,2017-08-09,no,17:29:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,60.0,52.0,24.0,0.0
Carrefour,1,1,2410,card,2017-08-09,no,17:00:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,60.0,47.0,47.0,0.0
Carrefour,1,1,2452,card,2017-08-09,no,19:04:00,night,chain,Westlands,mid,Friday,weekday,no,Female,60.0,50.0,27.0,0.0
Carrefour,2,1,2420,card,2017-08-09,no,19:10:00,night,chain,Westlands,mid,Friday,weekday,no,Male,61.0,42.0,48.0,0.0
Carrefour,1,1,2421,card,2017-08-09,no,17:17:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,61.0,49.0,20.0,0.0
Carrefour,2,2,2434,card,2017-08-09,no,18:46:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,62.0,41.0,23.0,0.0
Carrefour,4,3,2200,card,2017-08-09,no,19:24:00,night,chain,Westlands,mid,Friday,weekday,no,Female,62.0,48.0,49.0,0.0
Carrefour,1,1,2390,card,2017-08-09,no,16:31:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,62.0,59.0,67.0,0.0
Carrefour,2,2,2395,card,2017-08-09,no,18:05:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,62.0,55.0,26.0,4.0
Carrefour,1,1,2416,card,2017-08-09,no,17:58:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,62.0,56.0,49.0,0.0
Carrefour,3,1,2479,card,2017-08-09,no,16:58:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,62.0,42.0,21.0,0.0
Carrefour,1,1,2459,card,2017-08-09,no,18:32:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,63.0,50.0,66.0,0.0
Carrefour,5,1,2426,card,2017-08-09,no,17:43:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,63.0,46.0,54.0,0.0
Carrefour,5,3,2453,card,2017-08-09,no,19:28:00,night,chain,Westlands,mid,Friday,weekday,no,Male,63.0,43.0,68.0,0.0
Carrefour,3,1,2406,card,2017-08-09,no,19:08:00,night,chain,Westlands,mid,Friday,weekday,no,Male,63.0,48.0,66.0,0.0
Carrefour,2,1,2490,card,2017-08-09,no,18:55:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,63.0,52.0,65.0,0.0
Carrefour,1,1,2465,card,2017-08-09,no,18:46:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,63.0,54.0,19.0,4.0
Carrefour,1,1,2424,card,2017-08-09,no,18:20:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,64.0,42.0,38.0,0.0
Carrefour,8,4,2200,card,2017-08-09,no,18:05:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,64.0,46.0,19.0,0.0
Carrefour,1,1,2474,card,2017-08-09,no,19:31:00,night,chain,Westlands,mid,Friday,weekday,no,Female,65.0,48.0,18.0,0.0
Carrefour,5,4,2200,card,2017-08-09,no,18:27:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,65.0,50.0,19.0,4.0
Carrefour,2,1,2393,card,2017-08-09,no,18:30:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,65.0,43.0,63.0,0.0
Carrefour,2,2,2473,card,2017-08-09,no,18:13:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,65.0,59.0,49.0,0.0
Carrefour,3,2,2200,card,2017-08-09,no,18:09:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,67.0,43.0,51.0,0.0
Carrefour,1,1,2448,card,2017-08-09,no,18:38:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,67.0,57.0,50.0,0.0
Carrefour,1,1,2450,card,2017-08-09,no,18:11:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,67.0,56.0,27.0,4.0
Carrefour,3,1,2422,card,2017-08-09,no,18:14:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,67.0,40.0,38.0,0.0
Carrefour,4,3,2459,card,2017-08-09,no,18:10:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,69.0,58.0,40.0,4.0
Carrefour,3,2,2000,card,2017-08-09,no,19:06:00,night,chain,Westlands,mid,Friday,weekday,no,Male,69.0,91.0,39.0,4.0
Carrefour,1,1,2441,card,2017-08-09,no,18:23:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,70.0,29.0,23.0,3.0
Carrefour,5,1,2414,card,2017-08-09,no,19:20:00,night,chain,Westlands,mid,Friday,weekday,no,Female,70.0,77.0,31.0,4.0
Carrefour,1,1,2423,card,2017-08-09,no,18:29:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,71.0,35.0,43.0,3.0
Carrefour,2,2,2446,card,2017-08-09,no,17:57:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,71.0,95.0,40.0,4.0
Carrefour,1,1,2442,card,2017-08-09,no,20:01:00,night,chain,Westlands,mid,Friday,weekday,no,Male,71.0,11.0,59.0,3.0
Carrefour,1,1,2432,card,2017-08-09,no,12:05:00,afternoon,chain,Westlands,mid,Friday,weekday,no,Male,71.0,75.0,38.0,4.0
Carrefour,9,4,2443,card,2017-08-09,no,17:18:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,71.0,9.0,47.0,3.0
Carrefour,3,2,1200,card,2017-08-09,no,18:16:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,71.0,75.0,39.0,4.0
Carrefour,1,1,2408,card,2017-08-09,no,18:19:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,72.0,34.0,25.0,3.0
Carrefour,3,2,2429,card,2017-08-09,no,17:32:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,72.0,71.0,31.0,4.0
Carrefour,6,3,2397,card,2017-08-09,no,19:38:00,night,chain,Westlands,mid,Friday,weekday,no,Male,73.0,5.0,20.0,3.0
Carrefour,1,1,2200,card,2017-08-09,no,11:08:00,morning,chain,Westlands,mid,Friday,weekday,no,Female,73.0,88.0,29.0,4.0
Carrefour,1,1,2440,card,2017-08-09,no,17:40:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,73.0,7.0,44.0,3.0
Carrefour,5,1,2200,card,2017-08-09,no,16:26:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,73.0,73.0,32.0,4.0
Carrefour,1,1,2404,card,2017-08-09,no,18:42:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,74.0,10.0,19.0,3.0
Carrefour,6,4,2408,card,2017-08-09,no,18:06:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,74.0,72.0,35.0,4.0
Carrefour,5,2,2200,card,2017-08-09,no,16:57:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,75.0,5.0,57.0,3.0
Carrefour,4,2,2415,card,2017-08-09,no,18:03:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,75.0,93.0,32.0,4.0
Carrefour,2,1,2200,card,2017-08-09,no,19:10:00,night,chain,Westlands,mid,Friday,weekday,no,Female,76.0,40.0,28.0,3.0
Carrefour,1,1,2200,card,2017-08-09,no,17:37:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,76.0,87.0,32.0,4.0
Carrefour,1,1,2486,card,2017-08-09,no,17:27:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,77.0,12.0,25.0,3.0
Carrefour,1,1,2200,card,2017-08-09,no,18:13:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,77.0,97.0,28.0,4.0
Carrefour,1,1,2459,card,2017-08-09,no,18:35:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,77.0,36.0,48.0,3.0
Carrefour,1,1,2424,card,2017-08-09,no,17:40:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,77.0,74.0,32.0,4.0
Carrefour,2,1,1700,card,2017-08-09,no,19:17:00,night,chain,Westlands,mid,Friday,weekday,no,Female,78.0,22.0,34.0,3.0
Carrefour,3,3,2471,card,2017-08-09,no,19:15:00,night,chain,Westlands,mid,Friday,weekday,no,Male,78.0,90.0,34.0,4.0
Carrefour,3,2,2477,card,2017-08-09,no,17:59:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,78.0,17.0,43.0,3.0
Carrefour,1,1,2200,card,2017-08-09,no,17:34:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,78.0,88.0,39.0,4.0
Carrefour,5,3,2200,card,2017-08-09,no,17:56:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,78.0,20.0,44.0,3.0
Carrefour,3,1,2463,card,2017-08-09,no,18:43:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,78.0,76.0,38.0,4.0
Carrefour,1,1,900,card,2017-08-09,no,18:44:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,78.0,16.0,47.0,3.0
Carrefour,2,1,2412,card,2017-08-09,no,18:12:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,78.0,89.0,27.0,4.0
Carrefour,3,2,2418,card,2017-08-09,no,17:07:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,78.0,1.0,37.0,3.0
Carrefour,5,2,2411,card,2017-08-09,no,19:32:00,night,chain,Westlands,mid,Friday,weekday,no,Female,78.0,78.0,30.0,4.0
Carrefour,1,1,2481,card,2017-08-09,no,19:09:00,night,chain,Westlands,mid,Friday,weekday,no,Male,78.0,1.0,34.0,3.0
Carrefour,1,1,2453,card,2017-08-09,no,17:02:00,night,chain,Westlands,mid,Friday,weekday,no,Female,78.0,73.0,30.0,4.0
Carrefour,3,2,2200,card,2017-08-09,no,18:19:00,night,chain,Westlands,mid,Friday,weekday,no,Female,79.0,35.0,56.0,3.0
Carrefour,1,1,2473,card,2017-08-09,no,15:43:00,afternoon,chain,Westlands,mid,Friday,weekday,no,Female,79.0,83.0,29.0,4.0
Carrefour,1,1,2424,card,2017-08-09,no,15:01:00,afternoon,chain,Westlands,mid,Friday,weekday,no,Male,81.0,5.0,19.0,3.0
Carrefour,6,4,2200,card,2017-08-09,no,16:54:00,afternoon,chain,Westlands,mid,Friday,weekday,no,Female,81.0,93.0,31.0,4.0
Carrefour,1,1,2457,card,2017-08-09,no,19:24:00,night,chain,Westlands,mid,Friday,weekday,no,Male,85.0,26.0,50.0,3.0
Carrefour,4,1,2200,card,2017-08-09,no,19:12:00,night,chain,Westlands,mid,Friday,weekday,no,Female,85.0,75.0,36.0,4.0
Carrefour,1,1,2421,card,2017-08-09,no,18:10:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,86.0,20.0,42.0,3.0
Carrefour,1,1,2411,card,2017-08-09,no,19:29:00,night,chain,Westlands,mid,Friday,weekday,no,Female,86.0,95.0,33.0,4.0
Carrefour,5,3,2472,card,2017-08-09,no,17:20:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,87.0,27.0,36.0,3.0
Carrefour,1,1,2422,card,2017-08-09,no,16:19:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,87.0,63.0,32.0,4.0
Carrefour,1,1,2420,card,2017-08-09,no,17:46:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,87.0,13.0,40.0,3.0
Carrefour,1,1,2462,card,2017-08-09,no,17:46:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,87.0,75.0,28.0,4.0
Carrefour,1,1,2445,card,2017-08-09,no,17:27:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,87.0,10.0,36.0,3.0
nakumatt,6,2,2200,card,2017-06-30,no,21:07:00,night,chain,cbd,mid,Friday,weekday,yes,Male,87.0,92.0,36.0,4.0
nakumatt,4,2,2424,mpesa,2017-04-07,yes,20:18:00,night,chain,junction,mid,Friday,weekday,no,Female,88.0,13.0,52.0,3.0
nakumatt,10,5,2474,card,2017-11-07,yes,19:29:00,night,chain,junction,mid,Friday,weekday,no,Female,88.0,86.0,30.0,4.0
nakumatt,1,1,2432,card,2017-06-23,no,11:05:00,morning,chain,cbd,mid,Friday,weekday,yes,Male,88.0,15.0,58.0,3.0
nakumatt,2,1,2442,card,2017-06-23,no,06:04:00,morning,chain,cbd,mid,Friday,weekday,no,Male,88.0,69.0,27.0,4.0
nakumatt,1,1,2448,card,2017-06-23,no,07:09:00,morning,chain,cbd,mid,Friday,weekday,no,Male,93.0,14.0,59.0,3.0
tuskys,2,1,2442,card,2017-06-30,no,20:21:00,night,chain,cbd,mid,Friday,weekday,no,Male,93.0,90.0,35.0,1.0
ukwala,1,1,2444,card,2017-06-23,no,09:37:00,morning,chain,cbd,mid,Friday,weekday,no,Female,97.0,32.0,37.0,3.0
nakumatt,2,3,2441,card,2013-06-23,no,20:43:00,night,chain,cbd,mid,Friday,weekday,yes,Female,97.0,86.0,32.0,1.0
nakumatt,1,1,2398,card,2017-06-16,no,16:24:00,evening,chain,karen,high,Friday,weekday,no,Male,98.0,15.0,46.0,3.0
nakumatt,1,1,2407,card,2017-06-16,no,09:36:00,morning,chain,karen,high,Friday,weekday,no,Female,98.0,88.0,29.0,1.0
ukwala,2,1,2449,card,2017-06-16,no,08:43:00,morning,chain,cbd,mid,Friday,weekday,no,Female,99.0,39.0,41.0,3.0
karrymart,1,1,2403,card,2017-06-23,no,22:32:00,night,chain,cbd,mid,Friday,weekday,no,Male,99.0,97.0,30.0,1.0
karrymart,2,1,2420,card,2017-06-23,no,21:28:00,night,chain,cbd,mid,Friday,weekday,no,Female,101.0,24.0,54.0,3.0
tuskys,3,3,2404,card,2017-02-06,no,14:52:00,afternoon,chain,cbd,mid,Friday,weekday,no,Male,101.0,68.0,28.0,1.0
nakumatt,2,2,2435,mpesa,2017-06-23,no,23:17:00,night,chain,cbd,mid,Friday,weekday,yes,Female,103.0,17.0,41.0,3.0
